Datum,Start,Einde,Plaats,Omschrijving
09/02/21,08:00,10:00,Contacturen,Git leren
10/02/21,08:00,10:00,Extern,Git leren
16/02/21,08:00,10:00,Contacturen,Git leren + debuggen
16/02/21,10:00,11:30,Extern,debuggen
23/02/21,08:00,10:00,Contacturen,brainstorm algoritme
26/02/21,11:00,11:19,Extern,brainstorm algoritme
27/02/21,08:56,10:21,Extern,brainstorm algoritme
27/02/21,14:00,14:45,Extern,brainstorm algoritme
02/03/21,08:00,10:10,Extern,keuze algoritme 
04/03/21,17:00,19:30,Extern,prototype visualisatie matrix
04/03/21,20:10,21:30,Extern,css visueel matrix vermenigvuldiging toegevoegd
06/03/21,14:00,16:15,Extern,usecase diagram maken
08/03/21,15:30,17:15,Extern,klassen diagram maken
09/03/21,08:00,10:00,Contacturen,bedrijfsbezoek
13/03/21,14:00,17:45,Contacturen,update klassendiagram en sequentie diagram maken
16/03/21,20:00,20:45,Extern,Wijzigen analysedocument en voortgang bekijken
17/03/21,14:20,15:21,Extern,aanmaak usecase diagram en andere diagrammen updaten en bijwerken analysedocument
18/03/21,13:48,14:03,Extern,update klassendiagram
18/03/21,17:30,17:45,Extern,laatste updates analysedocument
23/03/21,08:00,10:29,Contacturen,beginnen coderen aan Tutorialgedeelte van het project
27/03/21,18:00,19:00,Extern,werken aan Tutorrial klasse en Turorial page klasse 
28/03/21,10:00,17:38,Extern,Uitwerken vermenigvuldigingstutorial + bespreken taakverdeling met groep
29/03/21,20:30,21:17,Extern,Strategy pattern toepassen en commentaar bijvoegen
30/03/21,08:00,10:00,Contacturen,werken aan transponeer tutorial
30/03/21,10:00,10:53,Extern,Werken aan transponeer tutorial en opmaak
30/03/21,21:45,22:03,Extern,bug oplossen bij transponeertutorial
01/04/21,08:45,09:03,Extern,refreshmethode verbeterd
01/04/21,18:34,22:06,Extern,determinant tutorial gemaakt/ css toegevoegd / tostring methode aan matrix toegevoegd 
02/04/21,20:00,21:41,Extern,extra features toegevoegd aan tutorialpage en verbeteren van tekstuele weergave van bewerkingen
04/04/21,14:00,16:00,Extern,bespreking taakverdeling project gedurende paasvakantie+deadlines opstellen
07/04/21,14:00,14:30,Extern,Taakverdeling met groep
08/04/21,12:00,13:18,Extern,werken aan display mainpage + speler onthouden
08/04/21,13:30,15:40,Extern,werken aan display van tutorials
08/04/21,17:30,21:25,Extern,display van vermenigvuldig oefening en determinant oefening aangepast + code gewijzigd van jquery naar javascript en enkele aanpassingen aan oefeningen scripts
09/04/21,10:00,11:56,Extern,display van vermenigvuldig oefening afwerken + functionaliteit toevoegen en bug oplossen
10/04/21,15:00,15:53,Extern,get_determinant methode gemaakt
10/04/21,10:10,11:28,Extern,visualisatie bij determinant tutorial verbeterd+ tostringmethode van matrix aangepast
11/04/21,09:20,11:48,Extern,gewerkt an vusualisatie van tutorials en oefeningen + debuggen
11/04/21,14:00,16:31,Extern,Afspraken en taakverdeling met groep+ werken aan inverse oefening
15/04/21,11:10,12:28,Extern,werken aan navigatie
15/04/21,14:00,15:57,Extern,Afspraken maken met groep en taakverdeling + werken aan navigatie en inverse tutorial aanpassen
15/04/21,20:00,23:59,Extern,Werken aan toepassing1 Decrypt the wallet
16/04/21,00:00,00:13,Extern,Werken aan toepassing1 Decrypt the wallet
16/04/21,12:00,13:10,Extern,Update hints in Bitcointoepassing
17/04/21,08:00,11:36,Extern,mergen code+ werken aan modulo inversie
17/04/21,19:00,20:15,Extern,Werken aan timer bitcoins
18/04/21,14:00,15:00,Extern,Afspraken maken groepswerk
19/04/21,21:00,22:02,Extern,links toevoegen van toepassingen + opmaak+ debuggen vermenigvuldigingsoefening
20/04/21,08:00,10:25,Contacturen,werken aan opmaak
20/04/21,20:40,21:05,Extern,debuggen opmaak
22/04/21,22:00,22:36,Extern,uitleg inverse
23/04/21,11:00,11:33,Extern,uitleg inverse aanvullen + determinant uitleg wijzigen
23/04/21,21:40,21:47,Extern,debug label ofeningenpage
25/04/21,11:20,11:37,Extern,uitleg transponeertutorial + testen code image in tutorial
25/04/21,15:00,17:32,Extern,Afspraken maken met groep+ strikvragen toegevoegd
25/04/21,21:00,21:53,Extern,Werken aan layout
27/04/21,08:00,10:00,Contacturen,Debuggen code + groepswerk+ website online zetten + uitleg determinant tutorial wijzigen
01/05/21,21:00,21:58,Extern,Verbeteren hint determinant tutorial + strikvraag toevoegen+ debuggen
02/05/21,10:00,11:23,Extern,Groepsoverleg + modal op mainpage
03/05/21,15:00,16:00,Extern,werken aan responsive layout + wijzigen bitcoin tekst
04/05/21,08:00,10:00,Contacturen,verschillend laatste aanpassingen aan code
08/05/21,08:45,10:30,Extern,Layout voor klein scherm aanpassen/ kleine details in code opgelost en deel van bronvermelding verslag
08/05/21,11:45,13:30,Extern,Markovsimulatie afgewerkt in andere branch
08/05/21,16:00,16:37,Extern,Overleg met groep
10/05/21,15:23,15:53,Extern,Laatste updates + hint bij vermenigvuldigtutorial herstellen
11/05/21,08:00,10:10,Contacturen,Feedback
11/05/21,12:20,12:27,Extern,een feedback bericht toegepast
16/05/21,12:50,13:02,Extern,Overbodige arrtibuten weghalen
16/05/21,13:40,14:02,Extern,Bibliografie verslag
