Datum,Start,Einde,Plaats,Omschrijving
09/02/21,08:00,10:00,Contacturen,Git leren
10/02/21,08:00,10:00,Extern,Git leren
16/02/21,08:00,10:00,Contacturen,Git leren + debuggen
23/02/21,08:00,10:00,Contacturen,Brainstormen algoritmen
27/02/21,14:00,14:45,Extern,Overleg en keuze top3
02/03/21,08:00,10:10,Contacturen,Overleg en start analyse
06/03/21,13:30,14:00,Extern,Structuur pagina's en css aanmaken
06/03/21,14:00,16:15,Extern,Analyse brainstormen en use cases gemaakt in tekst
08/03/21,15:30,17:15,Extern,Analyse klassendiagram
09/03/21,08:00,10:00,Contacturen,Bedrijfsbezoek
13/03/21,14:00,17:15,Extern,Sequentiediagram maken + klassediagram aanpassen
16/03/21,08:00,10:15,Contacturen,Analyse document schrijven
23/03/21,08:00,10:00,Contacturen,Uitwerking starten (matrix.js)
28/03/21,14:00,14:30,Extern,Taakverdeling
30/03/21,08:00,10:30,Contacturen,Feedback + werken aan opmaak
02/04/21,14:35,14:45,Extern,Code nakijken
04/04/21,14:00,16:00,Extern,Afspraken maken met groep
05/04/21,13:30,15:10,Extern,Vermenigvuldigoefening maken met Othello
05/04/21,15:25,18:30,Extern,Vermenigvuldigoefening afwerken en debuggen met Othello
06/04/21,21:00,23:30,Extern,DeterminantOefening maken
07/04/21,14:00,14:30,Extern,Taakverdeling met groep
10/04/21,21:00,23:00,Extern,Hintknop aanmaken + determinantoefening afwerken
11/04/21,11:00,13:00,Extern,Othello helpen met InverseOefening en hintknop pushen
11/04/21,14:00,15:15,Extern,Afspraken en taakverdeling met groep
13/04/21,18:00,19:30,Extern,Opeenvolgende oefeningen laten starten
15/04/21,14:00,14:30,Extern,Afspraken met groep
17/04/21,16:00,18:30,Extern,Hintknoppen voor andere oefeningen en modal bij afwerken van oefening
18/04/21,14:00,14:50,Extern,Todo lijst en taakverdeling
19/04/21,22:30,23:30,Extern,Hint inverseoefening grote tabel in popover als tussenbewerking
20/04/21,08:00,10:15,Contacturen,Uitleg determinant + bugs aan einde van oefening + modal einde van oefening toevoegen
24/04/21,21:00,23:00,Extern,Modal op mainpage proberen + determinant uitleg afwerken
25/04/21,15:00,15:45,Extern,Taken verdelen met groep
27/04/21,08:00,10:00,Contacturen,Toepassing markovketens met Othello 
01/05/21,18:00,20:30,Extern,Plotly proberen implementeren
02/05/21,10:00,11:00,Afspraak met groep
